R2,RMSE,MAE,SMAPE,method,input_length,dataset_name,fold,num_params
0.6214725367686451,60.20896026742511,18.961317,0.09113683,LSTM,8,france,1,328205
0.9567121039943888,18.730185656750123,12.785869,0.1287664,Time,8,germany,1,1836
0.876060667088684,27.74378141541925,18.878956,0.13307814,Independent,8,netherlands,1,12630
0.9149870274121252,20.51897240993724,14.707801,0.08645043,DNN,24,spain,1,49925
0.9510735957448458,15.604913358389773,10.474383,0.06527326,Time,16,spain,1,1690
0.9642764001694246,30.115789121232257,21.633604,0.10838307,DNN,16,germany,2,46982
0.9307248062541106,41.98791766082461,31.424215,0.13542596,DNN,8,germany,2,40838
0.912966201407134,44.76235671969878,31.917753,0.15169661,LSTM,16,netherlands,2,329206
0.9060043397993712,46.53145200174421,32.918808,0.15232363,LSTM,8,netherlands,2,329206
0.7070829139723738,83.73030901912102,63.378418,0.1708094,DNN,24,france,2,49925
0.938953520675506,38.22439655753247,26.712702,0.08154879,Feature,24,france,2,6773
0.9546760442806472,22.54138243584764,16.908535,0.1432132,DNN,16,france,3,44805
0.8879247859271199,13.68284492937518,9.199346,0.06723591,Feature,8,spain,2,2261
0.9664849248050782,29.17002224465909,20.068754,0.10497911,Feature,16,germany,2,4694
0.6225022230617793,60.09053431658871,14.260422,0.06709264,Independent,16,france,1,20965
0.6052664240529997,61.29684313662185,18.595776,0.087681144,LSTM,24,france,1,328205
0.9665499963741004,19.626162354859314,13.690703,0.1363137,Time,16,belgium,3,2124
0.9554648942233228,21.36260162740053,14.834874,0.14988817,Time,8,netherlands,3,1836
0.9556976397764834,14.81243407158324,9.779361,0.06166506,Independent,24,spain,1,31445
0.8883446368429552,28.87747512051456,19.009575,0.14515588,Independent,8,belgium,1,12630
0.8924234879628551,48.191487148600736,34.905052,0.13735668,LSTM,24,belgium,2,329206
0.9284359613338246,39.52593528996974,27.188215,0.12156835,Feature,8,belgium,2,2350
0.9545246429699324,21.58860158754752,15.10835,0.1517766,Time,16,netherlands,3,2124
0.955931053386715,18.852760400191563,12.958791,0.12611398,Time,16,germany,1,2124
0.9653058233331052,19.72172666592727,13.964632,0.12753294,Feature,16,france,3,4517
0.9020262910282192,26.912763031038708,17.774637,0.13688418,Time,24,belgium,1,2412
0.8726741392306117,28.09849119649543,19.38847,0.13254362,SCINet,16,netherlands,1,8416
0.9084312502773229,12.381996103805252,8.318506,0.06138639,Time,24,spain,2,1890
0.955884089775256,33.506809738143154,24.158459,0.1141849,LSTM,8,germany,2,329206
0.8810776192686873,50.842232614112255,35.950436,0.14223257,LSTM,16,belgium,2,329206
0.962603165904927,20.465936412064224,15.593504,0.1471385,DNN,8,france,3,39685
0.9086694370971604,12.35178424749557,8.490151,0.06346154,LSTM,8,spain,2,328205
0.9132422010204116,43.520012121759855,31.140154,0.13065383,LSTM,8,belgium,2,329206
0.9304000190256544,40.83673338974743,29.293957,0.088282034,Time,16,france,2,1690
0.9601663798035368,17.903035406260372,12.41961,0.12246688,Feature,24,germany,1,7038
0.9145654999093566,44.21483529491261,31.286787,0.1468247,LSTM,24,netherlands,2,329206
0.6460413035156882,58.04467315810513,13.155386,0.060855024,Time,24,france,1,1890
0.9297434224062432,40.228719262681295,28.041048,0.13747956,Feature,8,netherlands,2,2350
0.8915401783976789,28.37714771091399,18.635744,0.13935131,Feature,16,belgium,1,4694
0.5885466644312305,62.73489064233914,22.13491,0.105314784,LSTM,16,france,1,328205
0.9515013149095236,15.53655387225835,10.231533,0.063986175,Independent,16,spain,1,20965
0.9680116196325856,19.194784664089912,13.485543,0.13602887,Time,8,belgium,3,1836
0.9607727998220364,20.99378148604925,16.24749,0.14479311,DNN,24,france,3,49925
0.9601816735623824,21.118142002336743,14.968781,0.1307631,Time,8,france,3,1490
0.954019167487502,19.257371160003657,13.175695,0.127342,Independent,16,germany,1,25254
0.902660181637478,26.82556090323998,17.524359,0.13627253,Feature,24,belgium,1,7038
0.964194017273778,30.086972116071788,22.063276,0.11234836,DNN,24,germany,2,53126
0.7946935061562728,39.042322913930526,30.512907,0.20788044,DNN,16,belgium,1,46982
0.8640723072371208,17.774665994631324,11.735782,0.21813835,Time,8,netherlands,4,1836
0.9634153624366052,30.47656650538297,21.193972,0.105224274,LSTM,16,germany,2,329206
0.9385501162661336,37.4983284132648,26.53203,0.13402815,Time,24,netherlands,2,2412
0.9775043886829192,15.79956394028408,10.852977,0.13435015,Feature,16,germany,3,4694
0.9511475396750092,22.37412775992794,15.355036,0.15172876,LSTM,8,netherlands,3,329206
